,AGE,NUM_OF_BASKETS,RACE_LE,GENDER_LE,BODY_SIZE_LE,WITH_KIDS_LE,KIDS_CATEGORY_LE,BASKET_SIZE_LE,BASKET_COLOUR_LE,ATTIRE_LE,SHIRT_COLOUR_LE,SHIRT_TYPE_LE,PANTS_COLOUR_LE,PANTS_TYPE_LE,WASH_ITEM_LE,WASHER_NO_LE,DRYER_NO_LE,SPECTACLES_LE,DAY_LE,DAY_TYPE_LE
161,45.0,39.0,3,0,1,1,4,0,8,0,0,1,11,0,1,1,0,0,2,1
162,41.0,1.0,3,1,0,1,4,0,1,0,6,1,7,1,1,3,3,0,2,1
163,37.0,3.0,2,0,1,0,1,0,8,0,5,1,5,1,1,3,0,0,2,1
164,35.0,2.0,2,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,2,1
165,53.0,2.0,0,1,2,0,0,0,1,0,0,1,7,0,0,3,0,1,2,1
166,53.0,1.0,0,1,1,0,1,1,9,0,9,1,5,1,1,3,3,0,2,1
167,51.0,2.0,0,1,1,0,1,0,0,0,9,1,2,0,1,3,0,0,2,1
168,32.0,1.0,3,0,1,0,1,0,8,0,2,1,5,0,1,1,1,1,2,1
169,52.0,3.0,3,0,2,0,1,0,9,0,9,1,0,0,1,2,2,0,2,1
170,50.0,2.0,3,0,2,0,1,0,9,0,4,0,12,0,1,1,1,0,2,1
171,31.0,1.0,3,1,1,0,1,0,8,0,3,1,12,0,1,1,3,0,2,1
172,54.0,3.0,2,0,1,0,1,1,9,0,10,1,0,0,1,2,3,0,2,1
173,47.0,2.0,1,1,2,0,1,0,1,0,2,1,0,0,1,3,0,0,2,1
174,39.0,1.0,0,0,1,0,1,0,0,0,9,1,0,1,1,0,2,1,2,1
175,50.0,3.0,2,0,2,0,1,0,0,0,10,1,0,0,1,1,1,0,2,1
176,34.0,1.0,2,1,1,0,1,0,9,1,6,0,0,0,0,1,0,1,2,1
177,47.0,3.0,3,0,2,0,1,0,9,0,2,1,5,0,0,3,1,0,2,1
